compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id,LogP,TPSA,MolWt,NumHDonors,NumHAcceptors
CU701,Drosophila melanogaster,Canton S,0.30%,,,16.9,S,,,Male,,,No,24305778,,,,,
CU701,Drosophila melanogaster,Canton S,0.30%,,,6.0,NS,,,Female,,,No,24305778,,,,,
AU701,Drosophila melanogaster,Canton S,0.30%,,,-0.7,NS,,,Female,,,No,24305778,,,,,
CU701,Drosophila melanogaster,Canton S,0.30%,,,0.0,NS,,,Male,,,No,24305778,,,,,
AU701,Drosophila melanogaster,Canton S,0.30%,,,11.4,S,,,Female,,,No,24305778,,,,,
AU701,Drosophila melanogaster,Canton S,0.30%,,,1.2,NS,,,Male,,,No,24305778,,,,,
Polydatin,Caenorhabditis elegans,N2,1 mM,,,30.0,S,,,Unknown,,,No,24305800,,,,,
Cranberry extract,Drosophila melanogaster,Canton S,0.02,,,30.1,S,,,Unknown,,,No,24316039,,,,,
Rapamycin,Caenorhabditis elegans,N2,100 µM,,,26.0,S,34.84,,Unknown,,,No,24332851,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Korean mistletoe extract,Caenorhabditis elegans,N2,50 µg/ml,,,9.6,S,,,Unknown,,,No,24337961,,,,,
Korean mistletoe extract,Drosophila melanogaster,Canton S,50 µg/ml,,,19.9,S,,,Unknown,,,No,24337961,,,,,
Ludwigia octovalvis extract,Drosophila melanogaster,Canton S,100 µg/ml,,,24.2,S,,,Female,,,No,24338263,,,,,
Ludwigia octovalvis extract,Drosophila melanogaster,Canton S,100 µg/ml,,,16.1,S,,,Male,,,No,24338263,,,,,
Rapamycin,Mus musculus,UM-HET3,42 ppm food,9 months,until death,26.0,S,11.0,S,Female,-20.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Rapamycin,Mus musculus,UM-HET3,42 ppm food,9 months,until death,23.0,S,8.0,S,Male,-19.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Rapamycin,Mus musculus,UM-HET3,14 ppm food,9 months,until death,21.0,S,11.0,S,Female,-4.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Rapamycin,Mus musculus,UM-HET3,14 ppm food,9 months,until death,13.0,S,8.0,S,Male,-11.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Rapamycin,Mus musculus,UM-HET3,4.7 ppm food,9 months,until death,16.0,S,5.0,S,Female,-4.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Rapamycin,Mus musculus,UM-HET3,4.7 ppm food,9 months,until death,3.0,NS,6.0,NS,Male,-6.0,,Yes,24341993,6.180600000000006,195.42999999999995,914.1870000000001,3.0,13.0
Lithium Chloride,Caenorhabditis elegans,JK1107,10 mM,,,0.1,,0.0,,Unknown,,,No,24398558,-5.992,0.0,42.394000000000005,0.0,0.0
Lithium Chloride,Caenorhabditis elegans,JK1107 (glp-1),10 mM,,,11.0,S,,,Unknown,,,No,24398558,-5.992,0.0,42.394000000000005,0.0,0.0
Glyceollin I,Saccharomyces cerevisiae,,25 nM,,,,S,,,Unknown,,,No,24399048,3.2901000000000025,68.15,338.35900000000004,2.0,5.0
